variable,lower ,median,upper,distribution,label
economically_sustainable,1.00,,5.00,posnorm,Financial viability for insurers
farmers_subscribe,1.00,,5.00,posnorm,Insurance uptake rate among farmers
pay_out,1.00,,5.00,posnorm,Compensation payment mechanisms
climate_justice,1.00,,5.00,posnorm,Insurance as climate justice instrument
affordability_premium,1.00,,5.00,posnorm,Premium cost relative to farmer income
level_micro_meso_macro,1.00,,5.00,posnorm,Scale of insurance implementation
damage_assessment,1.00,,5.00,posnorm,Accuracy and fairness of loss assessment
new_adaptation_strategies,1.00,,5.00,posnorm,Development of innovative adaptation methods
spatial_geophysical,1.00,,5.00,posnorm,Topography and physical landscape features
af_profile,1.00,,5.00,posnorm,Diversity and size of agroforestry systems
socio_political,1.00,,5.00,posnorm,Political stability and governance context
availability_insurance,1.00,,5.00,posnorm,Accessibility of insurance products
cohesiveness_community,1.00,,5.00,posnorm,Social unity and collective action
cultural_importance,1.00,,5.00,posnorm,Cultural significance of insured assets
risk_perception,1.00,,5.00,posnorm,Subjective assessment of risk severity
vulnerability,1.00,,5.00,posnorm,Susceptibility to climate impacts
number_insured,1.00,,5.00,posnorm,Total participants in insurance scheme
exposure_risks,1.00,,5.00,posnorm,Degree of exposure to climate hazards
underwriting,1.00,,5.00,posnorm,Risk assessment and premium setting
risk_mitigating_practices,1.00,,5.00,posnorm,Adoption of risk reduction measures
damage,1.00,,5.00,posnorm,Extent of losses from climate events
hazard,1.00,,5.00,posnorm,Frequency and severity of climate hazards
what_is_insured,1.00,,5.00,posnorm,Scope of insurance coverage
financing,1.00,,5.00,posnorm,Funding sources and mechanisms
farmer_pays,1.00,,5.00,posnorm,Farmer contribution to premiums
subsidized,1.00,,5.00,posnorm,Level of government or donor subsidies
ease_claims,1.00,,5.00,posnorm,Simplicity of claims process
indemnity_index,1.00,,5.00,posnorm,Basis for compensation calculations
ease_getting_insurance,1.00,,5.00,posnorm,Accessibility of enrollment process
ecological_conditions,1.00,,5.00,posnorm,Environmental and climate factors
composition_insured,1.00,,5.00,posnorm,Demographics of insured population
insurance_offered,1.00,,5.00,posnorm,Types of insurance products available
decision,1.00,,5.00,posnorm,Quality of decision-making processes
land_tenure,1.00,,5.00,posnorm,Security of land ownership and access
design_process,1.00,,5.00,posnorm,Inclusivity of scheme design
compliance_mechanism,1.00,,5.00,posnorm,Enforcement of insurance terms
time_frame_policy,1.00,,5.00,posnorm,Duration of policy coverage
gendered_decision_making,1.00,,5.00,posnorm,Gender equity in decision-making
likelihood_extreme_events,1.00,,5.00,posnorm,Probability of severe climate events
personal_savings_coverage,1.00,,5.00,posnorm,Adequacy of personal risk management
external_influences,1.00,,5.00,posnorm,Impact of external factors on decisions
past_experiences_damages,1.00,,5.00,posnorm,Historical loss experiences
cultural_acceptance,1.00,,5.00,posnorm,Social norms regarding insurance
expected_compensation,1.00,,5.00,posnorm,Perceived benefits from insurance
dependence_insured_risk,1.00,,5.00,posnorm,Economic reliance on insured assets
trust_insurers_farmers,1.00,,5.00,posnorm,Confidence in insurance providers
portfolio_risk_management,1.00,,5.00,posnorm,Diversity of risk strategies
uptake_insurance,1.00,,5.00,posnorm,Actual adoption rates
data_availability,1.00,,5.00,posnorm,Access to relevant risk data
motivations,1.00,,5.00,posnorm,Drivers for insurance participation
feasibility_insurance,1.00,,5.00,posnorm,Practical implementation potential
